ITEM t_6898 [78 b; 0 s]
ITEM t_6199 [78 b; 0 s]
ITEM t_6198 [78 b; 0 s]
ITEM t_6197 [78 b; 0 s]
ITEM t_6196 [78 b; 0 s]
ITEM t_6195 [78 b; 0 s]
ITEM t_6194 [78 b; 0 s]
ITEM t_6193 [78 b; 0 s]
ITEM t_6192 [78 b; 0 s]
ITEM t_6191 [78 b; 0 s]
ITEM t_6190 [78 b; 0 s]
ITEM t_6189 [78 b; 0 s]
ITEM t_6188 [78 b; 0 s]
ITEM t_6187 [78 b; 0 s]
ITEM t_6186 [78 b; 0 s]
ITEM t_6185 [78 b; 0 s]
ITEM t_6184 [78 b; 0 s]
ITEM t_6183 [78 b; 0 s]
ITEM t_6182 [78 b; 0 s]
ITEM t_6181 [78 b; 0 s]
ITEM t_6180 [78 b; 0 s]
ITEM t_6179 [78 b; 0 s]
ITEM t_6178 [78 b; 0 s]
ITEM t_6177 [78 b; 0 s]
ITEM t_6176 [78 b; 0 s]
ITEM t_6175 [78 b; 0 s]
ITEM t_6174 [78 b; 0 s]
ITEM t_6173 [78 b; 0 s]
ITEM t_6172 [78 b; 0 s]
ITEM t_6171 [78 b; 0 s]
ITEM t_6170 [78 b; 0 s]
ITEM t_6169 [78 b; 0 s]
ITEM t_6168 [78 b; 0 s]
ITEM t_6167 [78 b; 0 s]
ITEM t_6166 [78 b; 0 s]
ITEM t_6165 [78 b; 0 s]
ITEM t_6164 [78 b; 0 s]
ITEM t_6163 [78 b; 0 s]
ITEM t_6162 [78 b; 0 s]
ITEM t_6161 [78 b; 0 s]
ITEM t_6160 [78 b; 0 s]
ITEM t_6159 [78 b; 0 s]
ITEM t_6158 [78 b; 0 s]
ITEM t_6157 [78 b; 0 s]
ITEM t_6156 [78 b; 0 s]
ITEM t_6155 [78 b; 0 s]
ITEM t_6154 [78 b; 0 s]
ITEM t_6153 [78 b; 0 s]
ITEM t_6152 [78 b; 0 s]
ITEM t_6151 [78 b; 0 s]
ITEM t_6150 [78 b; 0 s]
ITEM t_6149 [78 b; 0 s]
ITEM t_6148 [78 b; 0 s]
ITEM t_6147 [78 b; 0 s]
ITEM t_6146 [78 b; 0 s]
ITEM t_6145 [78 b; 0 s]
ITEM t_6144 [78 b; 0 s]
ITEM t_6143 [78 b; 0 s]
ITEM t_6142 [78 b; 0 s]
ITEM t_6141 [78 b; 0 s]
ITEM t_6140 [78 b; 0 s]
ITEM t_6139 [78 b; 0 s]
ITEM t_6138 [78 b; 0 s]
ITEM t_6137 [78 b; 0 s]
ITEM t_6136 [78 b; 0 s]
ITEM t_6135 [78 b; 0 s]
ITEM t_6134 [78 b; 0 s]
ITEM t_6133 [78 b; 0 s]
ITEM t_6132 [78 b; 0 s]
ITEM t_6131 [78 b; 0 s]
ITEM t_6130 [78 b; 0 s]
ITEM t_6129 [78 b; 0 s]
ITEM t_6128 [78 b; 0 s]
ITEM t_6127 [78 b; 0 s]
ITEM t_6126 [78 b; 0 s]
ITEM t_6125 [78 b; 0 s]
ITEM t_6124 [78 b; 0 s]
ITEM t_6123 [78 b; 0 s]
ITEM t_6122 [78 b; 0 s]
ITEM t_6121 [78 b; 0 s]
ITEM t_6120 [78 b; 0 s]
ITEM t_6119 [78 b; 0 s]
ITEM t_6118 [78 b; 0 s]
ITEM t_6117 [78 b; 0 s]
ITEM t_6116 [78 b; 0 s]
ITEM t_6115 [78 b; 0 s]
ITEM t_6114 [78 b; 0 s]
ITEM t_6113 [78 b; 0 s]
ITEM t_6112 [78 b; 0 s]
ITEM t_6111 [78 b; 0 s]
ITEM t_6110 [78 b; 0 s]
ITEM t_6109 [78 b; 0 s]
ITEM t_6108 [78 b; 0 s]
ITEM t_6107 [78 b; 0 s]
ITEM t_6106 [78 b; 0 s]
ITEM t_6105 [78 b; 0 s]
ITEM t_6104 [78 b; 0 s]
ITEM t_6103 [78 b; 0 s]
ITEM t_6102 [78 b; 0 s]
ITEM t_6101 [78 b; 0 s]
ITEM t_6100 [78 b; 0 s]
ITEM t_6099 [78 b; 0 s]
ITEM t_6098 [78 b; 0 s]
ITEM t_6097 [78 b; 0 s]
ITEM t_6096 [78 b; 0 s]
ITEM t_6095 [78 b; 0 s]
ITEM t_6094 [78 b; 0 s]
ITEM t_6093 [78 b; 0 s]
ITEM t_6092 [78 b; 0 s]
ITEM t_6091 [78 b; 0 s]
ITEM t_6090 [78 b; 0 s]
ITEM t_6089 [78 b; 0 s]
ITEM t_6088 [78 b; 0 s]
ITEM t_6087 [78 b; 0 s]
ITEM t_6086 [78 b; 0 s]
ITEM t_6085 [78 b; 0 s]
ITEM t_6084 [78 b; 0 s]
ITEM t_6083 [78 b; 0 s]
ITEM t_6082 [78 b; 0 s]
ITEM t_6081 [78 b; 0 s]
ITEM t_6080 [78 b; 0 s]
ITEM t_6079 [78 b; 0 s]
ITEM t_6078 [78 b; 0 s]
ITEM t_6077 [78 b; 0 s]
ITEM t_6076 [78 b; 0 s]
ITEM t_6075 [78 b; 0 s]
ITEM t_6074 [78 b; 0 s]
ITEM t_6073 [78 b; 0 s]
ITEM t_6072 [78 b; 0 s]
ITEM t_6071 [78 b; 0 s]
ITEM t_6070 [78 b; 0 s]
ITEM t_6069 [78 b; 0 s]
ITEM t_6068 [78 b; 0 s]
ITEM t_6067 [78 b; 0 s]
ITEM t_6066 [78 b; 0 s]
ITEM t_6065 [78 b; 0 s]
ITEM t_6064 [78 b; 0 s]
ITEM t_6063 [78 b; 0 s]
ITEM t_6062 [78 b; 0 s]
ITEM t_6061 [78 b; 0 s]
ITEM t_6060 [78 b; 0 s]
ITEM t_6059 [78 b; 0 s]
ITEM t_6058 [78 b; 0 s]
ITEM t_6057 [78 b; 0 s]
ITEM t_6056 [78 b; 0 s]
ITEM t_6055 [78 b; 0 s]
ITEM t_6054 [78 b; 0 s]
ITEM t_6053 [78 b; 0 s]
ITEM t_6052 [78 b; 0 s]
ITEM t_6051 [78 b; 0 s]
ITEM t_6050 [78 b; 0 s]
ITEM t_6049 [78 b; 0 s]
ITEM t_6048 [78 b; 0 s]
ITEM t_6047 [78 b; 0 s]
ITEM t_6046 [78 b; 0 s]
ITEM t_6045 [78 b; 0 s]
ITEM t_6044 [78 b; 0 s]
ITEM t_6043 [78 b; 0 s]
ITEM t_6042 [78 b; 0 s]
ITEM t_6041 [78 b; 0 s]
ITEM t_6040 [78 b; 0 s]
ITEM t_6039 [78 b; 0 s]
ITEM t_6038 [78 b; 0 s]
ITEM t_6037 [78 b; 0 s]
ITEM t_6036 [78 b; 0 s]
ITEM t_6035 [78 b; 0 s]
ITEM t_6034 [78 b; 0 s]
ITEM t_6033 [78 b; 0 s]
ITEM t_6032 [78 b; 0 s]
ITEM t_6031 [78 b; 0 s]
ITEM t_6030 [78 b; 0 s]
ITEM t_6029 [78 b; 0 s]
ITEM t_6028 [78 b; 0 s]
ITEM t_6027 [78 b; 0 s]
ITEM t_6026 [78 b; 0 s]
ITEM t_6025 [78 b; 0 s]
ITEM t_6024 [78 b; 0 s]
ITEM t_6023 [78 b; 0 s]
ITEM t_6022 [78 b; 0 s]
ITEM t_6021 [78 b; 0 s]
ITEM t_6020 [78 b; 0 s]
ITEM t_6019 [78 b; 0 s]
ITEM t_6018 [78 b; 0 s]
ITEM t_6017 [78 b; 0 s]
ITEM t_6016 [78 b; 0 s]
ITEM t_6015 [78 b; 0 s]
ITEM t_6014 [78 b; 0 s]
ITEM t_6013 [78 b; 0 s]
ITEM t_6012 [78 b; 0 s]
ITEM t_6011 [78 b; 0 s]
ITEM t_6010 [78 b; 0 s]
ITEM t_6009 [78 b; 0 s]
ITEM t_6008 [78 b; 0 s]
ITEM t_6007 [78 b; 0 s]
ITEM t_6006 [78 b; 0 s]
ITEM t_6005 [78 b; 0 s]
ITEM t_6004 [78 b; 0 s]
ITEM t_6003 [78 b; 0 s]
ITEM t_6002 [78 b; 0 s]
ITEM t_6001 [78 b; 0 s]
ITEM t_6000 [78 b; 0 s]
ITEM t_5999 [78 b; 0 s]
ITEM t_5998 [78 b; 0 s]
ITEM t_5997 [78 b; 0 s]
ITEM t_5996 [78 b; 0 s]
ITEM t_5995 [78 b; 0 s]
ITEM t_5994 [78 b; 0 s]
ITEM t_5993 [78 b; 0 s]
ITEM t_5992 [78 b; 0 s]
ITEM t_5991 [78 b; 0 s]
ITEM t_5990 [78 b; 0 s]
ITEM t_5989 [78 b; 0 s]
ITEM t_5988 [78 b; 0 s]
ITEM t_5987 [78 b; 0 s]
ITEM t_5986 [78 b; 0 s]
ITEM t_5985 [78 b; 0 s]
ITEM t_5984 [78 b; 0 s]
ITEM t_5983 [78 b; 0 s]
ITEM t_5982 [78 b; 0 s]
ITEM t_5981 [78 b; 0 s]
ITEM t_5980 [78 b; 0 s]
ITEM t_5979 [78 b; 0 s]
ITEM t_5978 [78 b; 0 s]
ITEM t_5977 [78 b; 0 s]
ITEM t_5976 [78 b; 0 s]
ITEM t_5975 [78 b; 0 s]
ITEM t_5974 [78 b; 0 s]
ITEM t_5973 [78 b; 0 s]
ITEM t_5972 [78 b; 0 s]
ITEM t_5971 [78 b; 0 s]
ITEM t_5970 [78 b; 0 s]
ITEM t_5969 [78 b; 0 s]
ITEM t_5968 [78 b; 0 s]
ITEM t_5967 [78 b; 0 s]
ITEM t_5966 [78 b; 0 s]
ITEM t_5965 [78 b; 0 s]
ITEM t_5964 [78 b; 0 s]
ITEM t_5963 [78 b; 0 s]
ITEM t_5962 [78 b; 0 s]
ITEM t_5961 [78 b; 0 s]
ITEM t_5960 [78 b; 0 s]
ITEM t_5959 [78 b; 0 s]
ITEM t_5958 [78 b; 0 s]
ITEM t_5957 [78 b; 0 s]
ITEM t_5956 [78 b; 0 s]
ITEM t_5955 [78 b; 0 s]
ITEM t_5954 [78 b; 0 s]
ITEM t_5953 [78 b; 0 s]
ITEM t_5952 [78 b; 0 s]
ITEM t_5951 [78 b; 0 s]
ITEM t_5950 [78 b; 0 s]
ITEM t_5949 [78 b; 0 s]
ITEM t_5948 [78 b; 0 s]
ITEM t_5947 [78 b; 0 s]
ITEM t_5946 [78 b; 0 s]
ITEM t_5945 [78 b; 0 s]
ITEM t_5944 [78 b; 0 s]
ITEM t_5943 [78 b; 0 s]
ITEM t_5942 [78 b; 0 s]
ITEM t_5941 [78 b; 0 s]
ITEM t_5940 [78 b; 0 s]
ITEM t_5939 [78 b; 0 s]
ITEM t_5938 [78 b; 0 s]
ITEM t_5937 [78 b; 0 s]
ITEM t_5936 [78 b; 0 s]
ITEM t_5935 [78 b; 0 s]
ITEM t_5934 [78 b; 0 s]
ITEM t_5933 [78 b; 0 s]
ITEM t_5932 [78 b; 0 s]
ITEM t_5931 [78 b; 0 s]
ITEM t_5930 [78 b; 0 s]
ITEM t_5929 [78 b; 0 s]
ITEM t_5928 [78 b; 0 s]
ITEM t_5927 [78 b; 0 s]
ITEM t_5926 [78 b; 0 s]
ITEM t_5925 [78 b; 0 s]
ITEM t_5924 [78 b; 0 s]
ITEM t_5923 [78 b; 0 s]
ITEM t_5922 [78 b; 0 s]
ITEM t_5921 [78 b; 0 s]
ITEM t_5920 [78 b; 0 s]
ITEM t_5919 [78 b; 0 s]
ITEM t_5918 [78 b; 0 s]
ITEM t_5917 [78 b; 0 s]
ITEM t_5916 [78 b; 0 s]
ITEM t_5915 [78 b; 0 s]
ITEM t_5914 [78 b; 0 s]
ITEM t_5913 [78 b; 0 s]
ITEM t_5912 [78 b; 0 s]
ITEM t_5911 [78 b; 0 s]
ITEM t_5910 [78 b; 0 s]
ITEM t_5909 [78 b; 0 s]
ITEM t_5908 [78 b; 0 s]
ITEM t_5907 [78 b; 0 s]
ITEM t_5906 [78 b; 0 s]
ITEM t_5905 [78 b; 0 s]
ITEM t_5904 [78 b; 0 s]
ITEM t_5903 [78 b; 0 s]
ITEM t_5902 [78 b; 0 s]
ITEM t_5901 [78 b; 0 s]
ITEM t_5900 [78 b; 0 s]
ITEM t_5899 [78 b; 0 s]
ITEM t_5898 [78 b; 0 s]
ITEM t_5897 [78 b; 0 s]
ITEM t_5896 [78 b; 0 s]
ITEM t_5895 [78 b; 0 s]
ITEM t_5894 [78 b; 0 s]
ITEM t_5893 [78 b; 0 s]
ITEM t_5892 [78 b; 0 s]
ITEM t_5891 [78 b; 0 s]
ITEM t_5890 [78 b; 0 s]
ITEM t_5889 [78 b; 0 s]
ITEM t_5888 [78 b; 0 s]
ITEM t_5887 [78 b; 0 s]
ITEM t_5886 [78 b; 0 s]
ITEM t_5885 [78 b; 0 s]
ITEM t_5884 [78 b; 0 s]
ITEM t_5883 [78 b; 0 s]
ITEM t_5882 [78 b; 0 s]
ITEM t_5881 [78 b; 0 s]
ITEM t_5880 [78 b; 0 s]
ITEM t_5879 [78 b; 0 s]
ITEM t_5878 [78 b; 0 s]
ITEM t_5877 [78 b; 0 s]
ITEM t_5876 [78 b; 0 s]
ITEM t_5875 [78 b; 0 s]
ITEM t_5874 [78 b; 0 s]
ITEM t_5873 [78 b; 0 s]
ITEM t_5872 [78 b; 0 s]
ITEM t_5871 [78 b; 0 s]
ITEM t_5870 [78 b; 0 s]
ITEM t_5869 [78 b; 0 s]
ITEM t_5868 [78 b; 0 s]
ITEM t_5867 [78 b; 0 s]
ITEM t_5866 [78 b; 0 s]
ITEM t_5865 [78 b; 0 s]
ITEM t_5864 [78 b; 0 s]
ITEM t_5863 [78 b; 0 s]
ITEM t_5862 [78 b; 0 s]
ITEM t_5861 [78 b; 0 s]
ITEM t_5860 [78 b; 0 s]
ITEM t_5859 [78 b; 0 s]
ITEM t_5858 [78 b; 0 s]
ITEM t_5857 [78 b; 0 s]
ITEM t_5856 [78 b; 0 s]
ITEM t_5855 [78 b; 0 s]
ITEM t_5854 [78 b; 0 s]
ITEM t_5853 [78 b; 0 s]
ITEM t_5852 [78 b; 0 s]
ITEM t_5851 [78 b; 0 s]
ITEM t_5850 [78 b; 0 s]
ITEM t_5849 [78 b; 0 s]
ITEM t_5848 [78 b; 0 s]
ITEM t_5847 [78 b; 0 s]
ITEM t_5846 [78 b; 0 s]
ITEM t_5845 [78 b; 0 s]
ITEM t_5844 [78 b; 0 s]
ITEM t_5843 [78 b; 0 s]
ITEM t_5842 [78 b; 0 s]
ITEM t_5841 [78 b; 0 s]
ITEM t_5840 [78 b; 0 s]
ITEM t_5839 [78 b; 0 s]
ITEM t_5838 [78 b; 0 s]
ITEM t_5837 [78 b; 0 s]
ITEM t_5836 [78 b; 0 s]
ITEM t_5835 [78 b; 0 s]
ITEM t_5834 [78 b; 0 s]
ITEM t_5833 [78 b; 0 s]
ITEM t_5832 [78 b; 0 s]
ITEM t_5831 [78 b; 0 s]
ITEM t_5830 [78 b; 0 s]
ITEM t_5829 [78 b; 0 s]
ITEM t_5828 [78 b; 0 s]
ITEM t_5827 [78 b; 0 s]
ITEM t_5826 [78 b; 0 s]
ITEM t_5825 [78 b; 0 s]
ITEM t_5824 [78 b; 0 s]
ITEM t_5823 [78 b; 0 s]
ITEM t_5822 [78 b; 0 s]
ITEM t_5821 [78 b; 0 s]
ITEM t_5820 [78 b; 0 s]
ITEM t_5819 [78 b; 0 s]
ITEM t_5818 [78 b; 0 s]
ITEM t_5817 [78 b; 0 s]
ITEM t_5816 [78 b; 0 s]
ITEM t_5815 [78 b; 0 s]
ITEM t_5814 [78 b; 0 s]
ITEM t_5813 [78 b; 0 s]
ITEM t_5812 [78 b; 0 s]
ITEM t_5811 [78 b; 0 s]
ITEM t_5810 [78 b; 0 s]
ITEM t_5809 [78 b; 0 s]
ITEM t_5808 [78 b; 0 s]
ITEM t_5807 [78 b; 0 s]
ITEM t_5806 [78 b; 0 s]
ITEM t_5805 [78 b; 0 s]
ITEM t_5804 [78 b; 0 s]
ITEM t_5803 [78 b; 0 s]
ITEM t_5802 [78 b; 0 s]
ITEM t_5801 [78 b; 0 s]
ITEM t_5800 [78 b; 0 s]
ITEM t_5799 [78 b; 0 s]
ITEM t_5798 [78 b; 0 s]
ITEM t_5797 [78 b; 0 s]
ITEM t_5796 [78 b; 0 s]
ITEM t_5795 [78 b; 0 s]
ITEM t_5794 [78 b; 0 s]
ITEM t_5793 [78 b; 0 s]
ITEM t_5792 [78 b; 0 s]
ITEM t_5791 [78 b; 0 s]
ITEM t_5790 [78 b; 0 s]
ITEM t_5789 [78 b; 0 s]
ITEM t_5788 [78 b; 0 s]
ITEM t_5787 [78 b; 0 s]
ITEM t_5786 [78 b; 0 s]
ITEM t_5785 [78 b; 0 s]
ITEM t_5784 [78 b; 0 s]
ITEM t_5783 [78 b; 0 s]
ITEM t_5782 [78 b; 0 s]
ITEM t_5781 [78 b; 0 s]
ITEM t_5780 [78 b; 0 s]
ITEM t_5779 [78 b; 0 s]
ITEM t_5778 [78 b; 0 s]
ITEM t_5777 [78 b; 0 s]
ITEM t_5776 [78 b; 0 s]
ITEM t_5775 [78 b; 0 s]
ITEM t_5774 [78 b; 0 s]
ITEM t_5773 [78 b; 0 s]
ITEM t_5772 [78 b; 0 s]
ITEM t_5771 [78 b; 0 s]
ITEM t_5770 [78 b; 0 s]
ITEM t_5769 [78 b; 0 s]
ITEM t_5768 [78 b; 0 s]
ITEM t_5767 [78 b; 0 s]
ITEM t_5766 [78 b; 0 s]
ITEM t_5765 [78 b; 0 s]
ITEM t_5764 [78 b; 0 s]
ITEM t_5763 [78 b; 0 s]
ITEM t_5762 [78 b; 0 s]
ITEM t_5761 [78 b; 0 s]
ITEM t_5760 [78 b; 0 s]
ITEM t_5759 [78 b; 0 s]
ITEM t_5758 [78 b; 0 s]
ITEM t_5757 [78 b; 0 s]
ITEM t_5756 [78 b; 0 s]
ITEM t_5755 [78 b; 0 s]
ITEM t_5754 [78 b; 0 s]
ITEM t_5753 [78 b; 0 s]
ITEM t_5752 [78 b; 0 s]
ITEM t_5751 [78 b; 0 s]
ITEM t_5750 [78 b; 0 s]
ITEM t_5749 [78 b; 0 s]
ITEM t_5748 [78 b; 0 s]
ITEM t_5747 [78 b; 0 s]
ITEM t_5746 [78 b; 0 s]
ITEM t_5745 [78 b; 0 s]
ITEM t_5744 [78 b; 0 s]
ITEM t_5743 [78 b; 0 s]
ITEM t_5742 [78 b; 0 s]
ITEM t_5741 [78 b; 0 s]
ITEM t_5740 [78 b; 0 s]
ITEM t_5739 [78 b; 0 s]
ITEM t_5738 [78 b; 0 s]
ITEM t_5737 [78 b; 0 s]
ITEM t_5736 [78 b; 0 s]
ITEM t_5735 [78 b; 0 s]
ITEM t_5734 [78 b; 0 s]
ITEM t_5733 [78 b; 0 s]
ITEM t_5732 [78 b; 0 s]
ITEM t_5731 [78 b; 0 s]
ITEM t_5730 [78 b; 0 s]
ITEM t_5729 [78 b; 0 s]
ITEM t_5728 [78 b; 0 s]
ITEM t_5727 [78 b; 0 s]
ITEM t_5726 [78 b; 0 s]
ITEM t_5725 [78 b; 0 s]
ITEM t_5724 [78 b; 0 s]
ITEM t_5723 [78 b; 0 s]
ITEM t_5722 [78 b; 0 s]
ITEM t_5721 [78 b; 0 s]
ITEM t_5720 [78 b; 0 s]
ITEM t_5719 [78 b; 0 s]
ITEM t_5718 [78 b; 0 s]
ITEM t_5717 [78 b; 0 s]
ITEM t_5716 [78 b; 0 s]
ITEM t_5715 [78 b; 0 s]
ITEM t_5714 [78 b; 0 s]
ITEM t_5713 [78 b; 0 s]
ITEM t_5712 [78 b; 0 s]
ITEM t_5711 [78 b; 0 s]
ITEM t_5710 [78 b; 0 s]
ITEM t_5709 [78 b; 0 s]
ITEM t_5708 [78 b; 0 s]
ITEM t_5707 [78 b; 0 s]
ITEM t_5706 [78 b; 0 s]
ITEM t_5705 [78 b; 0 s]
ITEM t_5704 [78 b; 0 s]
ITEM t_5703 [78 b; 0 s]
ITEM t_5702 [78 b; 0 s]
ITEM t_5701 [78 b; 0 s]
ITEM t_5700 [78 b; 0 s]
ITEM t_5699 [78 b; 0 s]
ITEM t_5698 [78 b; 0 s]
ITEM t_5697 [78 b; 0 s]
ITEM t_5696 [78 b; 0 s]
ITEM t_5695 [78 b; 0 s]
ITEM t_5694 [78 b; 0 s]
ITEM t_5693 [78 b; 0 s]
ITEM t_5692 [78 b; 0 s]
ITEM t_5691 [78 b; 0 s]
ITEM t_5690 [78 b; 0 s]
ITEM t_5689 [78 b; 0 s]
ITEM t_5688 [78 b; 0 s]
ITEM t_5687 [78 b; 0 s]
ITEM t_5686 [78 b; 0 s]
ITEM t_5685 [78 b; 0 s]
ITEM t_5684 [78 b; 0 s]
ITEM t_5683 [78 b; 0 s]
ITEM t_5682 [78 b; 0 s]
ITEM t_5681 [78 b; 0 s]
ITEM t_5680 [78 b; 0 s]
ITEM t_5679 [78 b; 0 s]
ITEM t_5678 [78 b; 0 s]
ITEM t_5677 [78 b; 0 s]
ITEM t_5676 [78 b; 0 s]
ITEM t_5675 [78 b; 0 s]
ITEM t_5674 [78 b; 0 s]
ITEM t_5673 [78 b; 0 s]
ITEM t_5672 [78 b; 0 s]
ITEM t_5671 [78 b; 0 s]
ITEM t_5670 [78 b; 0 s]
ITEM t_5669 [78 b; 0 s]
ITEM t_5668 [78 b; 0 s]
ITEM t_5667 [78 b; 0 s]
ITEM t_5666 [78 b; 0 s]
ITEM t_5665 [78 b; 0 s]
ITEM t_5664 [78 b; 0 s]
ITEM t_5663 [78 b; 0 s]
ITEM t_5662 [78 b; 0 s]
ITEM t_5661 [78 b; 0 s]
ITEM t_5660 [78 b; 0 s]
ITEM t_5659 [78 b; 0 s]
ITEM t_5658 [78 b; 0 s]
ITEM t_5657 [78 b; 0 s]
ITEM t_5656 [78 b; 0 s]
ITEM t_5655 [78 b; 0 s]
ITEM t_5654 [78 b; 0 s]
ITEM t_5653 [78 b; 0 s]
ITEM t_5652 [78 b; 0 s]
ITEM t_5651 [78 b; 0 s]
ITEM t_5650 [78 b; 0 s]
ITEM t_5649 [78 b; 0 s]
ITEM t_5648 [78 b; 0 s]
ITEM t_5647 [78 b; 0 s]
ITEM t_5646 [78 b; 0 s]
ITEM t_5645 [78 b; 0 s]
ITEM t_5644 [78 b; 0 s]
ITEM t_5643 [78 b; 0 s]
ITEM t_5642 [78 b; 0 s]
ITEM t_5641 [78 b; 0 s]
ITEM t_5640 [78 b; 0 s]
ITEM t_5639 [78 b; 0 s]
ITEM t_5638 [78 b; 0 s]
ITEM t_5637 [78 b; 0 s]
ITEM t_5636 [78 b; 0 s]
ITEM t_5635 [78 b; 0 s]
ITEM t_5634 [78 b; 0 s]
ITEM t_5633 [78 b; 0 s]
ITEM t_5632 [78 b; 0 s]
ITEM t_5631 [78 b; 0 s]
ITEM t_5630 [78 b; 0 s]
ITEM t_5629 [78 b; 0 s]
ITEM t_5628 [78 b; 0 s]
ITEM t_5627 [78 b; 0 s]
ITEM t_5626 [78 b; 0 s]
ITEM t_5625 [78 b; 0 s]
ITEM t_5624 [78 b; 0 s]
ITEM t_5623 [78 b; 0 s]
ITEM t_5622 [78 b; 0 s]
ITEM t_5621 [78 b; 0 s]
ITEM t_5620 [78 b; 0 s]
ITEM t_5619 [78 b; 0 s]
ITEM t_5618 [78 b; 0 s]
ITEM t_5617 [78 b; 0 s]
ITEM t_5616 [78 b; 0 s]
ITEM t_5615 [78 b; 0 s]
ITEM t_5614 [78 b; 0 s]
ITEM t_5613 [78 b; 0 s]
ITEM t_5612 [78 b; 0 s]
ITEM t_5611 [78 b; 0 s]
ITEM t_5610 [78 b; 0 s]
ITEM t_5609 [78 b; 0 s]
ITEM t_5608 [78 b; 0 s]
ITEM t_5607 [78 b; 0 s]
ITEM t_5606 [78 b; 0 s]
ITEM t_5605 [78 b; 0 s]
ITEM t_5604 [78 b; 0 s]
ITEM t_5603 [78 b; 0 s]
ITEM t_5602 [78 b; 0 s]
ITEM t_5601 [78 b; 0 s]
ITEM t_5600 [78 b; 0 s]
ITEM t_5599 [78 b; 0 s]
ITEM t_5598 [78 b; 0 s]
ITEM t_5597 [78 b; 0 s]
ITEM t_5596 [78 b; 0 s]
ITEM t_5595 [78 b; 0 s]
ITEM t_5594 [78 b; 0 s]
ITEM t_5593 [78 b; 0 s]
ITEM t_5592 [78 b; 0 s]
ITEM t_5591 [78 b; 0 s]
ITEM t_5590 [78 b; 0 s]
ITEM t_5589 [78 b; 0 s]
ITEM t_5588 [78 b; 0 s]
ITEM t_5587 [78 b; 0 s]
ITEM t_5586 [78 b; 0 s]
ITEM t_5585 [78 b; 0 s]
ITEM t_5584 [78 b; 0 s]
ITEM t_5583 [78 b; 0 s]
ITEM t_5582 [78 b; 0 s]
ITEM t_5581 [78 b; 0 s]
ITEM t_5580 [78 b; 0 s]
ITEM t_5579 [78 b; 0 s]
ITEM t_5578 [78 b; 0 s]
ITEM t_5577 [78 b; 0 s]
ITEM t_5576 [78 b; 0 s]
ITEM t_5575 [78 b; 0 s]
ITEM t_5574 [78 b; 0 s]
ITEM t_5573 [78 b; 0 s]
ITEM t_5572 [78 b; 0 s]
ITEM t_5571 [78 b; 0 s]
ITEM t_5570 [78 b; 0 s]
ITEM t_5569 [78 b; 0 s]
ITEM t_5568 [78 b; 0 s]
ITEM t_5567 [78 b; 0 s]
ITEM t_5566 [78 b; 0 s]
ITEM t_5565 [78 b; 0 s]
ITEM t_5564 [78 b; 0 s]
ITEM t_5563 [78 b; 0 s]
ITEM t_5562 [78 b; 0 s]
ITEM t_5561 [78 b; 0 s]
ITEM t_5560 [78 b; 0 s]
ITEM t_5559 [78 b; 0 s]
ITEM t_5558 [78 b; 0 s]
ITEM t_5557 [78 b; 0 s]
ITEM t_5556 [78 b; 0 s]
ITEM t_5555 [78 b; 0 s]
ITEM t_5554 [78 b; 0 s]
ITEM t_5553 [78 b; 0 s]
ITEM t_5552 [78 b; 0 s]
ITEM t_5551 [78 b; 0 s]
ITEM t_5550 [78 b; 0 s]
ITEM t_5549 [78 b; 0 s]
ITEM t_5548 [78 b; 0 s]
ITEM t_5547 [78 b; 0 s]
ITEM t_5546 [78 b; 0 s]
ITEM t_5545 [78 b; 0 s]
ITEM t_5544 [78 b; 0 s]
ITEM t_5543 [78 b; 0 s]
ITEM t_5542 [78 b; 0 s]
ITEM t_5541 [78 b; 0 s]
ITEM t_5540 [78 b; 0 s]
ITEM t_5539 [78 b; 0 s]
ITEM t_5538 [78 b; 0 s]
ITEM t_5537 [78 b; 0 s]
ITEM t_5536 [78 b; 0 s]
ITEM t_5535 [78 b; 0 s]
ITEM t_5534 [78 b; 0 s]
ITEM t_5533 [78 b; 0 s]
ITEM t_5532 [78 b; 0 s]
ITEM t_5531 [78 b; 0 s]
ITEM t_5530 [78 b; 0 s]
ITEM t_5529 [78 b; 0 s]
ITEM t_5528 [78 b; 0 s]
ITEM t_5527 [78 b; 0 s]
ITEM t_5526 [78 b; 0 s]
ITEM t_5525 [78 b; 0 s]
ITEM t_5524 [78 b; 0 s]
ITEM t_5523 [78 b; 0 s]
ITEM t_5522 [78 b; 0 s]
ITEM t_5521 [78 b; 0 s]
ITEM t_5520 [78 b; 0 s]
ITEM t_5519 [78 b; 0 s]
ITEM t_5518 [78 b; 0 s]
ITEM t_5517 [78 b; 0 s]
ITEM t_5516 [78 b; 0 s]
ITEM t_5515 [78 b; 0 s]
ITEM t_5514 [78 b; 0 s]
ITEM t_5513 [78 b; 0 s]
ITEM t_5512 [78 b; 0 s]
ITEM t_5511 [78 b; 0 s]
ITEM t_5510 [78 b; 0 s]
ITEM t_5509 [78 b; 0 s]
ITEM t_5508 [78 b; 0 s]
ITEM t_5507 [78 b; 0 s]
ITEM t_5506 [78 b; 0 s]
ITEM t_5505 [78 b; 0 s]
ITEM t_5504 [78 b; 0 s]
ITEM t_5503 [78 b; 0 s]
ITEM t_5502 [78 b; 0 s]
ITEM t_5501 [78 b; 0 s]
